FID,SUBNAME,SUBSTATION,MIN_KV,MAX_KV,NUMBANKS,REDACTED,OBJECTID,UNGROUNDED
441,BERESFORD,2404,4.000000000000000,60.000000000000000,2.000000000000000,Yes,49031,"1,2"
442,PARSONS,1366,4.160000000000000,12.000000000000000,2.000000000000000,Yes,49045,None
443,SAN LORENZO,1346,4.000000000000000,12.000000000000000,2.000000000000000,Yes,49100,None
444,DIVIDE,18257,12.000000000000000,70.000000000000000,2.000000000000000,Yes,49102,None
445,LAWNDALE,2244,4.160000000000000,12.000000000000000,2.000000000000000,No,49105,None
446,ARANA,8301,4.000000000000000,21.000000000000000,2.000000000000000,No,49156,None
447,SCE TEHACHAPI,25813,0.000000000000000,0.000000000000000,1.000000000000000,Yes,65176,None
448,SO. CAL. EDISON,25888,0.000000000000000,0.000000000000000,1.000000000000000,Yes,65178,None
449,BEAR VALLEY,25219,21.000000000000000,70.000000000000000,1.000000000000000,No,65094,1
450,KERMAN,25271,12.000000000000000,70.000000000000000,2.000000000000000,Yes,65095,None
451,STOCKTON ACRES,16322,4.000000000000000,60.000000000000000,1.000000000000000,No,65096,1
452,TOKAY SUB,16888,0.000000000000000,0.000000000000000,1.000000000000000,Yes,65182,None
453,WATSONVILLE,8333,4.000000000000000,60.000000000000000,2.000000000000000,Yes,49050,2
454,HOLLISTER,18249,21.000000000000000,115.000000000000000,3.000000000000000,No,49099,None
455,SOQUEL,8330,4.000000000000000,21.000000000000000,1.000000000000000,No,49132,None
456,STOCKDALE,25407,12.000000000000000,230.000000000000000,6.000000000000000,No,65097,None
457,GREEN VALLEY,8319,21.000000000000000,115.000000000000000,2.000000000000000,Yes,49136,None
458,SEACLIFF,8350,4.000000000000000,21.000000000000000,2.000000000000000,No,49109,None
459,STROUD,25366,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65098,None
460,COALINGA NO 2,25238,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65099,None
