X,Y,SUBST_ID,SUB_NAME,SYS_NAME,SUB_TYPE,SUBSTATION_VOLTAGE,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,NOTE,OBJECTID
-118.498634293942288,34.028663978360385,498,San Vicente,La Cienega 220/66 System,D -- Distribution,16/4.16 kV,0.371,0,0.371,3.9,11.48,5.56,Interconnection studies in this area have identified adequate deliverability.,116
-118.488378749366376,34.017485538750776,500,Santa Monica,La Cienega 220/66 System,D -- Distribution,66/16 kV,2.201,0.756,2.957,56,6.35,52.44,Interconnection studies in this area have identified adequate deliverability.,117
-118.374159344396105,33.859001328345506,501,Victoria,La Fresa 220/66 System,D -- Distribution,66/16 kV,4.607,0.007,4.614,68.4,7.59,73.21,Interconnection studies in this area have identified adequate deliverability.,118
-118.323610749896588,33.791825342147028,502,Walteria,La Fresa 220/66 System,D -- Distribution,66/16 kV,5.497,1.185,6.682,56,12.39,49.06,Interconnection studies in this area have identified adequate deliverability.,119
-118.359547479138641,33.996348007437263,505,Windsor Hills,La Cienega 220/66 System,D -- Distribution,16/4.16 kV,2.672,0.063,2.734,9.8,11,12.43,Interconnection studies in this area have identified adequate deliverability.,120
-118.631747769349033,34.147923762927128,506,Valdez,Moorpark 220/66 System,D -- Distribution,66/16 kV,7.498,0.204,7.701,95.7,9.2,92,Interconnection studies in this area have identified adequate deliverability.,121
-118.358145365286973,33.895045198572767,508,Lawndale,El Nido 220/66 System,D -- Distribution,16/4.16 kV,0.342,0.003,0.346,5.1,7.08,5.64,Interconnection studies in this area have identified adequate deliverability.,122
-118.714363348475942,34.108029994878116,509,Crater,Moorpark 220/66 System,D -- Distribution,66/16 kV,15.378,3.053,18.431,28,66.23,9.46,Interconnection studies in this area have identified adequate deliverability.,123
-118.334199324202842,33.918481970763516,511,Yukon,La Fresa 220/66 System,D -- Distribution,66/16 kV,7.637,0.423,8.061,54.6,11.89,77.51,Interconnection studies in this area have identified adequate deliverability.,124
-118.472478243647288,34.025808164222262,513,Colorado,La Cienega 220/66 System,D -- Distribution,66/16 kV,4.366,3.551,7.917,53.7,2.56,82.63,Interconnection studies in this area have identified adequate deliverability.,125
-118.155656265315613,33.962853887485743,891,Gage,Laguna Bell Ab 220/66 System,D -- Distribution,16/4.16 kV,0.046,0,0.046,3.2,1.52,7.39,Interconnection studies in this area have identified adequate deliverability.,126
