CIRCUIT_NA,CIRCUIT_VO,AGR_PCT,COM_PCT,IND_PCT,RES_PCT,OTHER_PCT,GEN_ALLOC,GEN_QUE,TOTAL_GEN,SUBST_DISP,SYS_NAME,NOTE,OBJECTID,Shape__Len
Arneill,16,0,23,0,57,19,0.152,0,0.152,Colonia 66/16 Kv,Santa Clara 220/66 System,N/A,408,72185.3853211163
Arnez,12,0,3,0,91,7,1.788,0,1.788,Santa Rosa 115/12 Kv,Mirage 220/115 System,N/A,409,67528.1870749628
Arnett,12,0,8,0,84,9,0.176,0,0.176,Imperial 66/12 Kv,Center 220/66 System,N/A,410,27255.2483744483
Artisano,16,0,19,0,72,8,1.53,0,1.53,La Fresa 66/16 Kv,La Fresa 220/66 System,N/A,411,38449.8590637431
Aruba,12,0,10,0,81,9,0.302,0,0.302,Bryan 66/12 Kv,Villa Park 220/66 System,N/A,412,37869.8668393037
Ash,4,0,9,0,86,6,0.078,0,0.078,Fullerton 66/4 Kv,Barre 220/66 System,N/A,413,19590.2289773047
Cairns,12,9,7,0,47,36,6.115,0,6.115,Lindsay 66/12 Kv,Springville 220/66 System,N/A,414,189066.165923664
Calarest,4,0,28,0,59,13,0,0,0,Beverly 66/4 Kv,Eagle Rock 220/66 System,N/A,415,6957.11199226735
Calabash,12,0,68,0,2,30,5.121,0,5.121,Declez 66/12 Kv,Etiwanda 220/66 System,N/A,416,57592.2026975036
Brooklyn,4,0,5,0,89,6,0.055,0,0.055,Belvedere 16/4 Kv,Mesa 220/66 System,N/A,417,16800.2270641019
Bulldog,12,0,29,0,62,9,1.017,0,1.017,Moulton 66/12 Kv,Santiago 220/66 System,N/A,418,52716.3070027913
Bulletin,4,0,27,0,23,52,0.191,0,0.191,Pomona 12/4 Kv,Chino 220/66 System,N/A,419,13727.1081434532
Calabasas,16,0,6,0,88,7,0.795,0,0.795,Valdez 66/16 Kv,Moorpark 220/66 System,N/A,420,34401.5575261927
Calamar,12,2,5,0,79,14,0.372,0,0.372,Calamar P.T. 33/12 Kv,Valley 'D' 500/115 System,N/A,421,65017.5171722519
Cal Bake,33,0,0,0,0,100,0,0,0,Baker 115/33 Kv,Eldorado 220/115 System,N/A,422,18043.8682705226
Calcadia,12,0,21,0,0,75,0,0,0,Calcadia P.T. 33/12 Kv,Eldorado 220/115 System,N/A,423,2040.46388416693
Calli Valli,12,0,2,0,94,4,0.53,0,0.53,Little Rock 66/12 Kv,Antelope 220/66 System,N/A,424,80001.751323378
Calla,12,0,7,0,85,9,0.292,0,0.292,Barre 66/12 Kv,Barre 220/66 System,N/A,425,43505.4001973552
Bullocks,12,0,10,0,82,9,0.019,0,0.019,Sullivan 66/12 Kv,Ellis 'C' 220/66 System,N/A,426,15227.1675672077
Bullpup,12,1,3,0,92,5,2.198,0,2.198,Mascot 66/12 Kv,Rector 220/66 System,N/A,427,86977.2541233959
Bundy,12,0,6,0,86,8,2.153,0,2.153,Skylark 115/12 Kv,Valley 'D' 500/115 System,N/A,428,90014.5732964688
Carpoil,16,0,15,0,79,7,0.167,0,0.167,Carpinteria 66/16 Kv,Goleta 220/66 System,N/A,429,57472.481572874
Carr,12,0,4,0,93,4,0.937,0,0.937,Puente 66/12 Kv,Walnut 220/66 System,N/A,430,32988.9816537617
Carribean,12,0,5,0,89,6,0.908,0,0.908,Palm Canyon 33/12 Kv,Devers 220/115 System,N/A,431,38676.3579286927
Carrier,12,0,58,0,0,42,0,0,0,Pico 66/12 Kv,Hinson 220/66 System,N/A,432,18511.2936619123
Bungalow,16,0,59,3,0,37,0.049,0,0.049,Sepulveda 66/16 Kv,El Nido 220/66 System,N/A,433,20458.492703167
Burleson,16,0,5,0,91,4,1.901,0,1.901,Royal 66/16 Kv,Moorpark 220/66 System,N/A,434,68559.8240883153
Burr,12,3,6,0,71,20,0.818,0,0.818,Lindsay 66/12 Kv,Springville 220/66 System,N/A,435,124221.566582289
Bush,12,0,9,0,81,10,0.526,0,0.526,Rector 66/12 Kv,Rector 220/66 System,N/A,436,46427.0677874084
Bushard,12,0,5,0,89,6,1.374,0,1.374,Oceanview 66/12 Kv,Ellis 'A' 220/66 System,N/A,437,66687.7017428091
Business,4,0,0,0,95,5,0.021,0,0.021,East Barstow 33/4 Kv,Kramer 220/115 System,N/A,438,3896.09329144761
Cart,12,0,14,0,77,9,1.486,0,1.486,Gilbert 66/12 Kv,Barre 220/66 System,N/A,439,35664.6674472049
Carter,4,0,3,0,91,6,0.122,0,0.122,Howard 66/4 Kv,La Fresa 220/66 System,N/A,440,17030.4671028926
Cartmill,12,0,10,0,80,10,0.493,0,0.493,Tulare 66/12 Kv,Rector 220/66 System,N/A,441,36295.1616751165
Casmalia,12,0,3,2,82,12,7.402,0,7.402,Alder 66/12 Kv,Etiwanda 220/66 System,N/A,442,142476.945238548
Butane,16,0,11,0,80,10,0.377,0,0.377,Sepulveda 66/16 Kv,El Nido 220/66 System,N/A,443,78535.2352260418
Cabana,12,0,1,0,91,8,1.203,0,1.203,Bain 66/12 Kv,Mira Loma 220/66 System,N/A,444,34496.1111722226
Caddy,12,0,5,0,92,4,0.71,0,0.71,Gilbert 66/12 Kv,Barre 220/66 System,N/A,445,28946.6993938925
Cadmium,12,0,12,0,76,12,1.005,0,1.005,Camden 66/12 Kv,Johanna 220/66 System,N/A,446,33532.0760765047
Cadena,16,0,28,0,63,10,0.073,0,0.073,Potrero 66/16 Kv,Moorpark 220/66 System,N/A,447,53597.7551602145
Calland,12,0,4,0,91,6,0.228,0,0.228,Hemet 33/12 Kv,Valley 'Ab' 500/115 System,N/A,448,21763.3051388664
Callaway,12,0,28,0,54,18,0.775,0,0.775,Moraga 115/12 Kv,Valley 'D' 500/115 System,N/A,449,55319.9030583455
Callison,12,28,0,0,14,57,0.595,0,0.595,Tipton 66/12 Kv,Springville 220/66 System,N/A,450,162666.517255333
Cain Ranch,12,0,17,0,76,7,0.044,0,0.044,Cain Ranch P.T. 2.4/12 Kv,Inyo Sce 220/115 System,N/A,451,44352.6560603069
Calcium,12,0,6,0,90,4,1.408,0,1.408,Limestone 66/12 Kv,Viejo 220/66 System,N/A,452,52544.251987693
Caldwell,12,0,5,0,89,6,0.84,0,0.84,Visalia 66/12 Kv,Rector 220/66 System,N/A,453,31601.0644269072
Caliber,12,0,7,0,78,15,1.128,0,1.128,Palmdale 66/12 Kv,Antelope 220/66 System,N/A,454,181046.56966589
Calico,12,0,6,0,86,8,0.486,0,0.486,Sullivan 66/12 Kv,Ellis 'C' 220/66 System,N/A,455,43383.6284566394
Cal Poly,12,0,12,0,79,10,0.329,0,0.329,Layfair 66/12 Kv,Padua 220/66 System,N/A,456,65116.4124700203
Calora,12,0,38,1,48,12,0.296,0,0.296,San Dimas 66/12 Kv,Padua 220/66 System,N/A,457,44858.1789929062
Cal Strip,16,0,14,0,73,12,0.388,0,0.388,Laguna Bell 66/16 Kv,Laguna Bell Ab 220/66 System,N/A,458,44626.6677039282
Calspar,12,0,5,0,91,5,1.212,0,1.212,Live Oak 66/12 Kv,Padua 220/66 System,N/A,459,33589.5820782426
Campus,12,0,6,0,88,6,0.42,0,0.42,Upland 66/12 Kv,Padua 220/66 System,N/A,460,48434.0266470375
Canal,33,0,80,0,0,20,0,0,0,Nelson 115/33 Kv,Valley 'Ab' 500/115 System,N/A,461,115360.1850155
Caliente,12,0,3,0,92,5,0.512,0,0.512,Cummings 66/12 Kv,Windhub 220/66 System,N/A,462,71161.3769407687
California,12,0,5,0,90,5,2.138,0,2.138,Chase 66/12 Kv,Mira Loma 220/66 System,N/A,463,48858.205242379
Camy,4,0,2,0,93,6,0.022,0,0.022,Belvedere 16/4 Kv,Mesa 220/66 System,N/A,464,8062.12755345645
Cameo,12,0,11,1,81,7,0.894,0,0.894,Bain 66/12 Kv,Mira Loma 220/66 System,N/A,465,53626.5473444373
Camp Nelson,4,1,5,0,83,11,0,0,0,Camp Nelson P.T. 12/4 Kv,Springville 220/66 System,N/A,466,60799.2266129645
Hexnut,12,0,22,0,68,11,0.296,0,0.296,Chestnut 66/12 Kv,Johanna 220/66 System,N/A,467,61571.3022969568
Caravel,12,0,48,1,31,17,0.113,0,0.113,Greening 66/12 Kv,Del Amo 220/66 System,N/A,468,27942.464664893
Caratan,12,21,13,0,13,51,0.759,0,0.759,Vestal 66/12 Kv,Vestal 220/66 System,N/A,469,220954.562981435
Carlet,12,0,10,0,83,7,1.602,0,1.602,San Dimas 66/12 Kv,Padua 220/66 System,N/A,470,37346.8639314715
Carnation,12,0,22,0,68,10,0.484,0,0.484,Barre 66/12 Kv,Barre 220/66 System,N/A,471,44231.0255249016
Camprock,33,0,6,25,10,60,0,0,0,Cottonwood 115/33 Kv,Victor 220/115 System,N/A,472,62650.740303775
Chipper,12,0,9,0,83,8,0.625,0,0.625,Gilbert 66/12 Kv,Barre 220/66 System,N/A,473,45468.2781979803
Chippewa,12,0,9,0,85,7,0.851,0,0.851,Shawnee 66/12 Kv,Barre 220/66 System,N/A,474,58956.0707932202
Choctaw,12,1,73,0,0,20,0.157,0,0.157,Shawnee 66/12 Kv,Barre 220/66 System,N/A,475,23015.3790331415
Chrome,12,0,5,0,92,3,1.74,0,1.74,Limestone 66/12 Kv,Viejo 220/66 System,N/A,476,38750.1803775635
Christy,12,0,4,0,90,6,3.261,0,3.261,Lark Ellen 66/12 Kv,Rio Hondo 220/66 System,N/A,477,12383.3055807732
Cedar Glen,12,0,10,0,82,9,0.003,0,0.003,Burnt Mill 33/12 Kv,Vista 220/115 System,N/A,478,52840.9062150553
Chablis,12,0,76,1,5,17,0.171,0,0.171,Moraga 115/12 Kv,Valley 'D' 500/115 System,N/A,479,91887.83563608
Chadron,16,0,19,1,68,12,0.312,0,0.312,Brighton 66/16 Kv,La Fresa 220/66 System,N/A,480,36676.3247884981
Chaffey,12,0,47,0,36,18,0.243,0,0.243,Upland 66/12 Kv,Padua 220/66 System,N/A,481,36382.5601085527
